"username","acquired_from_username","acquired_at"
"honeygracermano","st4r._g4zing","2026-02-15 17:00:30.077594+00"
"plusiqm","arii._.3","2026-02-15 17:15:04.547852+00"
"_wolfspell_","pullingjorstrings","2026-02-15 17:24:09.618922+00"
"justparadise_","s.carlettie","2026-02-15 17:36:18.907307+00"
"diminishingmarginalutility","plusiqm","2026-02-15 18:15:29.634471+00"
"jynsei","_wolfspell_","2026-02-15 18:25:25.280543+00"
"taylor89_","justparadise_","2026-02-15 18:36:44.623408+00"
"ashleystrawbelly","diminishingmarginalutility","2026-02-15 19:15:35.709166+00"
"faelafel","jynsei","2026-02-15 19:25:39.586147+00"
"pamaru86","taylor89_","2026-02-15 19:39:22.160351+00"
"wolfbro33.","ashleystrawbelly","2026-02-15 20:16:25.910139+00"
"palem","faelafel","2026-02-15 20:25:48.42422+00"
"bottomjail","pamaru86","2026-02-15 20:39:25.012739+00"
"cchel1","wolfbro33.","2026-02-15 21:16:29.735083+00"
"a.b.a.c.o.r.e_82.d","palem","2026-02-15 21:26:18.242807+00"
"skysolicious","bottomjail","2026-02-15 21:39:46.622691+00"
"lxvlyxsierraa","cchel1","2026-02-15 22:16:46.217188+00"
"shiratoriwaza","honeygracermano","2026-02-15 22:19:48.265595+00"
"gotabrokenego","a.b.a.c.o.r.e_82.d","2026-02-15 22:26:38.015237+00"
"amy9.","skysolicious","2026-02-15 22:41:27.013245+00"
"trainerally","lxvlyxsierraa","2026-02-15 23:16:58.652679+00"
"densallnight","gotabrokenego","2026-02-15 23:26:38.207219+00"
"mxdshrt","amy9.","2026-02-15 23:45:43.760511+00"
"merryarbo","trainerally","2026-02-16 00:17:06.771247+00"
"psykaitic","densallnight","2026-02-16 00:28:39.222376+00"
"pik_archu3313","mxdshrt","2026-02-16 00:45:55.07088+00"
"eve.elleri","merryarbo","2026-02-16 01:17:16.205099+00"
"arch.angel_","psykaitic","2026-02-16 01:30:30.441641+00"
"jackalope3148","pik_archu3313","2026-02-16 01:46:46.881681+00"
"cosmicluvr","eve.elleri","2026-02-16 02:17:55.562542+00"
"jenerallyjenius","rachelicate","2026-02-16 02:30:24.702376+00"
"skylatv","arch.angel_","2026-02-16 02:30:31.550087+00"
"rafaelosamu","jackalope3148","2026-02-16 02:46:56.532654+00"
"joefeen31","shiratoriwaza","2026-02-16 02:58:31.038255+00"
"dejaydef","cosmicluvr","2026-02-16 03:18:04.401018+00"
"sanjivanm","skylatv","2026-02-16 03:30:32.541692+00"
"zyddyson","rafaelosamu","2026-02-16 03:46:57.059618+00"
"zoyad.","dejaydef","2026-02-16 04:22:02.265425+00"
"xylite","sanjivanm","2026-02-16 04:30:33.89249+00"
"gl1tched_enfix.13","zyddyson","2026-02-16 04:47:10.677833+00"
"brayden.","xylite","2026-02-16 05:08:48.528298+00"
"happyviruscyl","gl1tched_enfix.13","2026-02-16 05:20:12.373872+00"
"rams89","zoyad.","2026-02-16 05:21:35.117585+00"
"yoshieggs","brayden.","2026-02-16 05:39:07.285912+00"
"gosling7029","happyviruscyl","2026-02-16 05:50:23.89377+00"
"swiftbreeze13","rams89","2026-02-16 05:55:24.576237+00"
"natsmovingcastle","yoshieggs","2026-02-16 06:11:07.905236+00"
"sadcaviar","gosling7029","2026-02-16 06:20:29.15756+00"
"idkkherr","swiftbreeze13","2026-02-16 06:32:37.488614+00"
"lesbiane","sadcaviar","2026-02-16 06:53:02.298543+00"
"soph.l","idkkherr","2026-02-16 07:02:40.259038+00"
"jimbo0013","natsmovingcastle","2026-02-16 07:33:05.974821+00"
"s0ulup","soph.l","2026-02-16 07:33:14.740099+00"
"dixie_19","s0ulup","2026-02-16 08:11:31.606648+00"
".renobi","jimbo0013","2026-02-16 08:22:03.867101+00"
"le0_x8","dixie_19","2026-02-16 08:53:36.050722+00"
"pscqd",".renobi","2026-02-16 08:55:49.731314+00"
"harshil.chitkara","le0_x8","2026-02-16 09:24:43.779874+00"
"kaerynix","pscqd","2026-02-16 09:34:19.518954+00"
"anotherweasel.","harshil.chitkara","2026-02-16 09:54:44.80572+00"
"austr0naut","anotherweasel.","2026-02-16 10:26:46.836081+00"
"eru_333","kaerynix","2026-02-16 10:27:19.957978+00"
"_bibliophile01_","austr0naut","2026-02-16 10:56:48.346191+00"
"alltooswift","eru_333","2026-02-16 10:57:23.863462+00"
"philips.idk","_bibliophile01_","2026-02-16 11:28:02.099854+00"
"taylorpotter","alltooswift","2026-02-16 11:28:42.864714+00"
"byakuyascocksleeve","philips.idk","2026-02-16 12:00:42.426733+00"
"_salvatore_19","taylorpotter","2026-02-16 12:20:15.980805+00"
"femkebruins215","byakuyascocksleeve","2026-02-16 12:42:48.682989+00"
"dextremini","_salvatore_19","2026-02-16 12:51:38.467296+00"
"rhodes0262","femkebruins215","2026-02-16 13:17:18.453392+00"
"callingitfine","dextremini","2026-02-16 14:20:03.677867+00"
"archiethearcherr","rhodes0262","2026-02-16 14:20:40.529348+00"
"forevermorepoet","callingitfine","2026-02-16 14:50:42.953468+00"
"deathwithdignity","archiethearcherr","2026-02-16 14:50:56.978996+00"
"amysayswelcome","forevermorepoet","2026-02-16 15:23:30.369977+00"
"weepingangel_97","deathwithdignity","2026-02-16 15:23:56.731451+00"
"technoeggnog","lesbiane","2026-02-16 15:52:23.758876+00"
"thisdangdeer","weepingangel_97","2026-02-16 15:54:58.407679+00"
"abbey_harrissen","amysayswelcome","2026-02-16 15:55:34.538376+00"
"purplereputation","thisdangdeer","2026-02-16 16:25:42.204038+00"
"burntoastsunday","abbey_harrissen","2026-02-16 16:25:57.123345+00"
"4rxzz_","technoeggnog","2026-02-16 16:27:49.25613+00"
"lei_4732","burntoastsunday","2026-02-16 16:56:18.507332+00"
"rexestchristus","4rxzz_","2026-02-16 16:57:52.899612+00"
"knight_0711","purplereputation","2026-02-16 16:58:16.576259+00"
